市区町村名,地区名,最寄駅：名称,最寄駅：距離（分）,間取り,面積（㎡）,建築年,取引価格（総額）,西暦建築年,築年数,平米単価,面積カテゴリ,徒歩カテゴリ
大阪市阿倍野区,松崎町,阿倍野,6,,60,2003年,3600,2003,22,60.0,50-70㎡,6-10分
大阪市阿倍野区,松崎町,阿倍野,4,３ＬＤＫ,85,2012年,6200,2012,13,72.94117647058823,70-100㎡,0-5分
大阪市阿倍野区,松崎町,阿倍野,4,３ＬＤＫ,75,2012年,5000,2012,13,66.66666666666667,70-100㎡,0-5分
大阪市阿倍野区,松崎町,阿倍野,4,３ＬＤＫ,65,2012年,4600,2012,13,70.76923076923077,50-70㎡,0-5分
大阪市阿倍野区,松崎町,大阪阿部野橋,3,,55,1997年,3000,1997,28,54.54545454545455,50-70㎡,0-5分
大阪市阿倍野区,松崎町,大阪阿部野橋,3,３ＬＤＫ,70,2007年,7300,2007,18,104.28571428571429,70-100㎡,0-5分
大阪市阿倍野区,松崎町,大阪阿部野橋,7,,55,1997年,3100,1997,28,56.36363636363637,50-70㎡,6-10分
大阪市阿倍野区,松崎町,大阪阿部野橋,6,,70,1999年,3900,1999,26,55.714285714285715,70-100㎡,6-10分
大阪市阿倍野区,松崎町,大阪阿部野橋,11,３ＬＤＫ,75,1997年,5500,1997,28,73.33333333333333,70-100㎡,11-12分
大阪市阿倍野区,松崎町,大阪阿部野橋,3,２ＬＤＫ,65,2007年,6800,2007,18,104.61538461538461,50-70㎡,0-5分
大阪市阿倍野区,松崎町,大阪阿部野橋,8,４ＬＤＫ,80,2012年,7100,2012,13,88.75,70-100㎡,6-10分
大阪市阿倍野区,松崎町,大阪阿部野橋,11,２ＬＤＫ,70,1997年,4600,1997,28,65.71428571428571,70-100㎡,11-12分
大阪市阿倍野区,松崎町,大阪阿部野橋,11,２ＬＤＫ,70,2005年,5100,2005,20,72.85714285714286,70-100㎡,11-12分
大阪市阿倍野区,松崎町,大阪阿部野橋,3,３ＬＤＫ,70,2007年,5900,2007,18,84.28571428571429,70-100㎡,0-5分
大阪市阿倍野区,松崎町,大阪阿部野橋,5,３ＬＤＫ,60,2001年,4600,2001,24,76.66666666666667,50-70㎡,0-5分
大阪市阿倍野区,松崎町,大阪阿部野橋,6,,60,2008年,3300,2008,17,55.0,50-70㎡,6-10分
大阪市阿倍野区,松崎町,大阪阿部野橋,5,３ＬＤＫ,65,2001年,4600,2001,24,70.76923076923077,50-70㎡,0-5分
大阪市阿倍野区,松崎町,大阪阿部野橋,6,３ＬＤＫ,65,2003年,5000,2003,22,76.92307692307692,50-70㎡,6-10分
大阪市阿倍野区,松崎町,大阪阿部野橋,6,,65,2003年,4000,2003,22,61.53846153846154,50-70㎡,6-10分
大阪市阿倍野区,松崎町,大阪阿部野橋,11,２ＬＤＫ＋Ｓ,65,1997年,3900,1997,28,60.0,50-70㎡,11-12分
大阪市阿倍野区,松崎町,大阪阿部野橋,4,３ＬＤＫ,85,2011年,7500,2011,14,88.23529411764706,70-100㎡,0-5分
大阪市阿倍野区,松崎町,大阪阿部野橋,5,,65,2018年,4700,2018,7,72.3076923076923,50-70㎡,0-5分
大阪市阿倍野区,松崎町,大阪阿部野橋,5,２ＬＤＫ,60,2018年,4500,2018,7,75.0,50-70㎡,0-5分
大阪市阿倍野区,松崎町,大阪阿部野橋,11,３ＬＤＫ,70,2012年,4500,2012,13,64.28571428571429,70-100㎡,11-12分
大阪市阿倍野区,松崎町,大阪阿部野橋,5,３ＬＤＫ,65,2001年,4300,2001,24,66.15384615384616,50-70㎡,0-5分
大阪市阿倍野区,松崎町,大阪阿部野橋,11,３ＬＤＫ,70,1997年,3500,1997,28,50.0,70-100㎡,11-12分
大阪市阿倍野区,松崎町,大阪阿部野橋,11,３ＬＤＫ,65,1997年,3000,1997,28,46.15384615384615,50-70㎡,11-12分
大阪市阿倍野区,松崎町,大阪阿部野橋,11,３ＬＤＫ,60,1997年,3500,1997,28,58.333333333333336,50-70㎡,11-12分
大阪市阿倍野区,松崎町,大阪阿部野橋,11,３ＬＤＫ,65,1997年,4000,1997,28,61.53846153846154,50-70㎡,11-12分
大阪市阿倍野区,松崎町,大阪阿部野橋,11,３ＬＤＫ,65,1997年,3400,1997,28,52.30769230769231,50-70㎡,11-12分
大阪市阿倍野区,松崎町,大阪阿部野橋,6,３ＬＤＫ,65,2007年,4800,2007,18,73.84615384615384,50-70㎡,6-10分
大阪市阿倍野区,松崎町,大阪阿部野橋,5,３ＬＤＫ,75,2011年,6700,2011,14,89.33333333333333,70-100㎡,0-5分
大阪市阿倍野区,松崎町,大阪阿部野橋,9,３ＬＤＫ,75,2013年,4900,2013,12,65.33333333333333,70-100㎡,6-10分
大阪市阿倍野区,松崎町,河堀口,11,,60,2017年,4500,2017,8,75.0,50-70㎡,11-12分
大阪市阿倍野区,松崎町,天王寺,4,２ＬＤＫ,70,2007年,8600,2007,18,122.85714285714286,70-100㎡,0-5分
大阪市阿倍野区,松崎町,天王寺,7,,55,1997年,2900,1997,28,52.72727272727273,50-70㎡,6-10分
大阪市阿倍野区,松崎町,天王寺,3,１ＬＤＫ,35,1995年,1800,1995,30,51.42857142857143,30-50㎡,0-5分
大阪市阿倍野区,松崎町,天王寺,4,３ＬＤＫ,70,2007年,6400,2007,18,91.42857142857143,70-100㎡,0-5分
大阪市阿倍野区,松崎町,天王寺,4,２ＬＤＫ,80,2007年,7500,2007,18,93.75,70-100㎡,0-5分
大阪市阿倍野区,松崎町,天王寺,4,３ＬＤＫ,70,2007年,6200,2007,18,88.57142857142857,70-100㎡,0-5分
大阪市阿倍野区,松崎町,天王寺,4,,70,2007年,6100,2007,18,87.14285714285714,70-100㎡,0-5分
大阪市阿倍野区,松崎町,天王寺,4,,70,2007年,6200,2007,18,88.57142857142857,70-100㎡,0-5分
大阪市阿倍野区,松崎町,天王寺,4,２ＬＤＫ,65,2007年,5900,2007,18,90.76923076923077,50-70㎡,0-5分
大阪市阿倍野区,松崎町,天王寺,4,１ＬＤＫ,65,2007年,6500,2007,18,100.0,50-70㎡,0-5分
大阪市阿倍野区,松崎町,天王寺,4,４ＬＤＫ,90,2007年,7300,2007,18,81.11111111111111,70-100㎡,0-5分
大阪市阿倍野区,松崎町,文の里,1,４ＬＤＫ,80,2008年,5900,2008,17,73.75,70-100㎡,0-5分
大阪市阿倍野区,松崎町,文の里,6,３ＬＤＫ,75,2005年,4500,2005,20,60.0,70-100㎡,6-10分
大阪市阿倍野区,松崎町,文の里,4,２ＬＤＫ,65,1997年,3000,1997,28,46.15384615384615,50-70㎡,0-5分
大阪市阿倍野区,松崎町,文の里,1,４ＬＤＫ,95,2008年,5500,2008,17,57.89473684210526,70-100㎡,0-5分
大阪市阿倍野区,丸山通,阿倍野,6,３ＬＤＫ,80,2007年,5100,2007,18,63.75,70-100㎡,6-10分
大阪市阿倍野区,丸山通,阿倍野,6,３ＬＤＫ,60,2007年,4200,2007,18,70.0,50-70㎡,6-10分
大阪市阿倍野区,丸山通,阿倍野,6,１ＬＤＫ,45,2007年,2400,2007,18,53.333333333333336,30-50㎡,6-10分
大阪市阿倍野区,丸山通,阿倍野,6,１ＬＤＫ,45,2007年,2500,2007,18,55.55555555555556,30-50㎡,6-10分
