面積カテゴリ,0-5分,11-12分,6-10分
30-50㎡,76.11368998869,74.546783625731,72.2891852891853
50-70㎡,64.87510109679285,50.399217449217446,54.78126404218272
70-100㎡,64.92538230894816,51.82389311902977,56.165494500793955
